id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Sonata,Orchestra Nova,classical,nostalgic,0.22,68,0.46,0.28,0.94
12,Rainbow Streets,Beat Mosaic,hip hop,energetic,0.88,100,0.72,0.85,0.12
13,Wildflower Run,Copper Ridge,country,hopeful,0.64,98,0.69,0.61,0.34
14,Irie Sunrise,Ocean Roots,reggae,carefree,0.57,88,0.77,0.75,0.26
15,Thunder Forge,Iron Pulse,metal,aggressive,0.95,146,0.29,0.55,0.08
16,Hearthside Lullaby,Willow Lane,folk,dreamy,0.38,74,0.63,0.49,0.86
17,Neon Bazaar,Electro Caravan,electronic,exuberant,0.90,128,0.83,0.91,0.11
18,Blue Whispers,Delta Avenue,blues,soulful,0.45,82,0.52,0.56,0.72
19,Desert Wings,Sahara Pulse,world,mysterious,0.54,96,0.58,0.65,0.49
20,Velvet Nights,Soul Avenue,R&B,romantic,0.61,92,0.78,0.69,0.32
21,City Sparks,Static Riot,punk,rebellious,0.91,140,0.41,0.80,0.09
22,Fiesta del Corazón,Los Soles,salsa,playful,0.76,118,0.82,0.88,0.19
23,Silver Screen,Studio Five,soundtrack,cinematic,0.49,84,0.67,0.37,0.68
24,Highway Grace,Promise Keepers,gospel,trusting,0.53,86,0.73,0.52,0.62
25,Sundown Groove,Afro Pulse,afrobeat,liberated,0.85,114,0.75,0.86,0.15
26,Moonlit Stillness,Aura Drift,new age,serene,0.28,64,0.61,0.22,0.91
27,Midnight Salsa,Palmera Beats,latin,vivacious,0.79,116,0.80,0.89,0.18
28,Electric Pulse,Neon Riot,disco,optimistic,0.83,122,0.76,0.90,0.16
29,Rusted Strings,Fallout Kids,grunge,melancholic,0.68,108,0.44,0.59,0.38
30,Aria of Dawn,Opera Lumière,opera,transcendent,0.31,72,0.66,0.21,0.88
